model,algorithm,ranking_score,prior_prompt,testcase,difficulty,ambiguous,num_scenes,num_annotation_runs,ssr_mean_iou,split_0_rsr,split_1_rsr,split_2_rsr,rsr_mean,rsr_std,rsr_pooled
gpt-4o,information_gain_original,ig,original,01_hard_ambiguous,Hard,True,50,150,0.5650061091147427,0.66,0.64,0.62,0.64,0.016329931618554536,0.64
gpt-4o,information_gain_original,ig,original,02_medium_ambiguous,Medium,True,50,150,0.6608335774122401,0.78,0.74,0.76,0.7600000000000001,0.016329931618554536,0.76
gpt-4o,information_gain_original,ig,original,05_medium_unambiguous,Medium,False,50,150,0.6736607040544444,0.66,0.68,0.7,0.68,0.01632993161855449,0.68
gpt-4o,information_gain_original,ig,original,06_hard_unambiguous,Hard,False,50,150,0.6015246804817752,0.64,0.64,0.6,0.6266666666666666,0.018856180831641284,0.6266666666666667
gpt-4o,information_gain_graspability,ig_graspability,graspability,01_hard_ambiguous,Hard,True,50,150,0.5904807631496528,0.68,0.64,0.64,0.6533333333333333,0.018856180831641284,0.6533333333333333
gpt-4o,information_gain_graspability,ig_graspability,graspability,02_medium_ambiguous,Medium,True,50,150,0.6318920031959242,0.74,0.72,0.72,0.7266666666666666,0.009428090415820642,0.7266666666666667
gpt-4o,information_gain_graspability,ig_graspability,graspability,05_medium_unambiguous,Medium,False,50,150,0.6891166389306118,0.66,0.68,0.7,0.68,0.01632993161855449,0.68
gpt-4o,information_gain_graspability,ig_graspability,graspability,06_hard_unambiguous,Hard,False,50,150,0.6677009522894033,0.72,0.7,0.66,0.6933333333333334,0.024944382578492914,0.6933333333333334
gpt-4o,theory_original,theory,original,01_hard_ambiguous,Hard,True,50,150,0.5650485351990499,0.66,0.64,0.62,0.64,0.016329931618554536,0.64
gpt-4o,theory_original,theory,original,02_medium_ambiguous,Medium,True,50,150,0.6611718736833495,0.78,0.74,0.76,0.7600000000000001,0.016329931618554536,0.76
gpt-4o,theory_original,theory,original,05_medium_unambiguous,Medium,False,50,150,0.6705851090303523,0.66,0.66,0.68,0.6666666666666666,0.009428090415820642,0.6666666666666666
gpt-4o,theory_original,theory,original,06_hard_unambiguous,Hard,False,50,150,0.6363077716862099,0.68,0.68,0.64,0.6666666666666666,0.018856180831641284,0.6666666666666666
gpt-4o,theory_graspability,theory,graspability,01_hard_ambiguous,Hard,True,50,150,0.5635836278087945,0.66,0.64,0.62,0.64,0.016329931618554536,0.64
gpt-4o,theory_graspability,theory,graspability,02_medium_ambiguous,Medium,True,50,150,0.6634333434205684,0.78,0.76,0.74,0.7600000000000001,0.016329931618554536,0.76
gpt-4o,theory_graspability,theory,graspability,05_medium_unambiguous,Medium,False,50,150,0.6966634390767039,0.68,0.7,0.7,0.6933333333333334,0.00942809041582059,0.6933333333333334
gpt-4o,theory_graspability,theory,graspability,06_hard_unambiguous,Hard,False,50,150,0.6495297048137653,0.7,0.68,0.66,0.68,0.01632993161855449,0.68
